Topic,Words,Frequency,Timestamp,Global_Representation
50,"legion, schaukelstuhls, bah, running wild, bah dah",9,1955-1959,Flucht als Motiv der Bewältigung
51,"jodeln, beep, goldmine, lazy afternoon, blu",25,1955-1959,Eskapismus: Die Flucht in Reise- und Sehnsuchtsorte
55,"st louis, from st, came long, address, way from",5,1955-1959,"Glamour, Ruhm, Illusion"
56,"silent night, holy night, heavenly peace, weihnachtsbotschaft, alleluia",11,1955-1959,Weihnachten und Gott
57,"yip, yip yip, fé, roly poly, roly",21,1955-1959,Satirische Gesellschaftskritik
58,"veilchen, korallen, willies, tahiti, barbara",15,1955-1959,Natur als Liebesmetapher
59,"gefall, re dead, crummy, glad when, ll glad",9,1955-1959,Symbol der Verstellung und Schutzmechanismen
60,"miss someone, still miss, baby cold, längst vorbei, cold outside",4,1955-1959,Die Metaphorik der Kälte als emotionale Distanz
62,"schmetterlings, abschneiden flügel, würdest, summen unaufhörliche, verletzt größer",2,1955-1959,Schmetterlingsmetaphorik über Wandel und neue Freiheit
64,"jingle, white christmas, sleigh, christmases, weihnachtskarten",10,1955-1959,Weihnachten und Winter
-1,"zahlen zahlen, gig, frühen 1960er, surfen, surf",2189,1960-1964,Rauschen
0,"watching watch, how know, maybe last, bald headed, stayed away",53,1960-1964,Zerrissene Selbstreflexion
1,"chubby, checker, chubby checker, tanzkultur, limbo",280,1960-1964,Kollektiver Tanzrausch
2,"äußere wetter, regentropfen, nutzt regens, rainin, lili",50,1960-1964,Regen als Trauermotiv
3,"weihnachtszeit, merry christmas, weihnachtsfest, claus, santa claus",100,1960-1964,Weihnachtslieder
4,"greenback dollar, geld liebe, greenback, woolworth, can buy",79,1960-1964,Konsumkritik
6,"hot rod, motors, rod, surf, fortbewegungsmittel",72,1960-1964,Autofahren als Freiheitsmotiv
7,"klassisches liebeslied, romantische ideologie, liebe allumfassende, vorstellung liebe, überschwängliches",503,1960-1964,Ewige Liebesbindung
8,"choo, eisenbahn, trouble mind, choo choo, lokomotive",66,1960-1964,Der Zug als Metapher für das Voranschreiten
9,"everything happens, buked, arrow, broken arrow, anybody but",28,1960-1964,Zerrissene Psyche
10,"gläubigen, christlichen, christlicher, christus, bekenntnis christlicher",94,1960-1964,Göttliche Gegenwart
11,"ohrringe, fiebers, verzehrende, romeo julia, golden earrings",27,1960-1964,Feuer als Motiv der Leidenschaft
12,"angel eyes, earth angel, little angel, anrede angel, reinheit schutz",25,1960-1964,Engelsmotive
13,"jim crow, crow, longest day, done gone, roddy",59,1960-1964,Gesellschaftskritik und Krieg
14,"blue moon, other words, mondlichts, allein traum, fly moon",100,1960-1964,Mondmotive und Liebe
15,"ally, pretoria, bürgerrechtsbewegung, oxen, marsch",37,1960-1964,Solidarität und Kollektivität
16,"seemanns, seemann, schiffes, maritime, sailor",97,1960-1964,Motive des Meeres
17,"shanty, steal away, limousine, somewhere along, 500 miles",65,1960-1964,Heimat und Zugehörigkeit
18,"schlichten eindringlichen, unerwiderter, unerfüllter liebe, unerwiderter liebe, eindringlichen porträt",1013,1960-1964,Unerwiderte Liebe
19,"optimistisches, make if, dream dream, tories, optimistisches manifest",50,1960-1964,Selbstermächtigung und Resilienz
20,"still dance, dialog energie, pride make, tieferen mentalen, pimple",1,1960-1964,Aggressive Selbstinszenierung
21,"hirten, bethlehem, noel, christi, geburt jesu",67,1960-1964,Christlicher Glaube
22,"verführerin, temptation, mimi, wind up, puppe",98,1960-1964,Toxische Liebesabhängigkeit
23,"kansas city, kansas, kentucky, südens, louisiana",63,1960-1964,Sehnsucht nach Amerika
24,"ever know, one ever, ll even, difference, no difference",76,1960-1964,Befreiung aus toxischer Beziehung
25,"blackbird, over rainbow, skylark, mockingbird, blauen vögel",86,1960-1964,Fliegen als Freiheitsmotiv 
26,"tenderly, right kind, augen geliebten, entfaltet liebe, beginning see",163,1960-1964,Liebe als Transzendentes
27,"mütterlicher fürsorge, wort mutter, schöner mann, oh papa, mother mine",17,1960-1964,Eltern‑Kind Bindung
28,"drinkin, polecat, thinking when, billy billy, alkohols",22,1960-1964,Alkohol und Einsamkeit
29,"torheit, win again, got bad, fools rush, coquette",97,1960-1964,Naivität in der Liebe
30,"baby baby, schlichten eindringlichen, jugendlicher verzweiflung, baby won, weep",98,1960-1964,Das Telefon als Sehnsuchtsmotiv
31,"jugendlicher verliebtheit, beispiel jugendliche, jahr 1964, verliebtheit frühen, frühen 1960er",601,1960-1964,Jugendliche Liebesballade
32,"mañana, toyland, karneval, circulate, young foolish",31,1960-1964,Nostalgie der Jugend
33,"let snow, snowfall, schnees, silhouetten, winterliche wetter",24,1960-1964,Winter als Liebesmetapher
34,"sandmann, nächtliches wiegenlied, sandman, sleepy, sogni",11,1960-1964,Schlaflieder
35,"rattle roll, shake rattle, rattle, busted, arbeiters",66,1960-1964,Technokratische Dystopie und Systemkritik
36,"silber gold, metalle, haars, ives, kostbarkeit",4,1960-1964,Edelsteine als Motiv für Beständigkeit
38,"kingpin, jackpot, lady luck, way ahead, heads win",17,1960-1964,Glücksspiel als Metapher für das Leben
39,"america, indigenen, union, südstaaten, mule",85,1960-1964,Amerikanische Identität und Kolonialismus
40,"ll around, stand by, happen again, mine hold, never near",72,1960-1964,Bedingungslose Unterstützung in Beziehungen
41,"blues klassisches, singing blues, blues genre, blues musikalisches, sing blues",55,1960-1964,Blues als Ausdruck von Schmerz
42,"cowboys, prärie, amerikanischen westens, dixie, laredo",66,1960-1964,Amerikanischer Western‑Mythos
43,"autumn, wein rosen, herbstes, laubs, autumn leaves",96,1960-1964,Jahreszeiten als Motiv des Wandels
45,"fountain, river entfaltet, water boy, münzen, tautropfen",30,1960-1964,Wasser als Motiv
46,"biene, sal, frühen 1960er, gal, verführerin",159,1960-1964,Begierde und körperliche Verführung
48,"broadway, los los, chinatown, wien, harlem",74,1960-1964,Urbanes Stadtporträt
49,"farbe blau, indigo, blue blue, samt, arme einst",50,1960-1964,Blau als Symbol der Melancholie
50,"dang, no vacancy, vacancy, mixed up, bad news",23,1960-1964,Flucht als Motiv der Bewältigung
51,"jess, caravan, einsiedler, karawane, trinidad",26,1960-1964,Eskapismus: Die Flucht in Reise- und Sehnsuchtsorte
52,"browns, mashed, potatoes, mashed potatoes, james browns",8,1960-1964,"Funk, Soul und Tanzkultur"
53,"fudge, intensiven konfrontation, umgebung hot, gegenübers verwirrung, erlangen nutzt",1,1960-1964,Hip‑Hop Machtdemonstration
55,"st louis, cornet, came long, dab, smack",11,1960-1964,"Glamour, Ruhm, Illusion"
56,"silent night, holy night, christi, heavenly peace, geburt christi",20,1960-1964,Weihnachten und Gott
57,"sneakers, heel sneakers, crisco, ivy league, heel",39,1960-1964,Satirische Gesellschaftskritik
58,"ramblin, rose steht, ramble, wildwood flower, wildwood",48,1960-1964,Natur als Liebesmetapher
59,"heiterkeit, masquerade, bitty, äußerer heiterkeit, great pretender",32,1960-1964,Symbol der Verstellung und Schutzmechanismen
60,"cold heart, cold cold, out cold, cold again, cold outside",22,1960-1964,Die Metaphorik der Kälte als emotionale Distanz
62,"schmetterling, fly by, by night, schmetterlinge, japanischen",3,1960-1964,Schmetterlingsmetaphorik über Wandel und neue Freiheit
64,"white christmas, jingle, sleigh, christmases, weihnachtskarten",33,1960-1964,Weihnachten und Winter
-1,"zahlen zahlen, gig, späten 1960er, 1969, monday",4134,1965-1969,Rauschen
0,"monolog sehnsucht, wirrer monolog, monolog erinnerung, monolog jungen, monolog resignation",426,1965-1969,Zerrissene Selbstreflexion
1,"boogaloo, jerk, tanzkultur, mitte 60er, körperliche bewegung",254,1965-1969,Kollektiver Tanzrausch
2,"rainy day, äußere wetter, regnerischen, regen steht, wetterphänomen",149,1965-1969,Regen als Trauermotiv
3,"weihnachtszeit, weihnachtsfest, merry christmas, weihnachtsmann, claus",104,1965-1969,Weihnachtslieder
4,"wohlhabenden, konsumgesellschaft, liebe geld, wohlstands, sale",199,1965-1969,Konsumkritik
5,"prince buster, capone, buster, al capone, tramp",4,1965-1969,"Luxus, Gewalt, Kriminalität"
6,"motors, mustang, beep, chauffeur, ride ride",95,1965-1969,Autofahren als Freiheitsmotiv
7,"romantische ideologie, liebe allumfassende, klassisches liebeslied, überschwängliches, unmittelbarkeit gefühls",641,1965-1969,Ewige Liebesbindung
8,"zugfahrt, eisenbahn, rattler, lokomotive, choo",110,1965-1969,Der Zug als Metapher für das Voranschreiten
9,"condition, good myself, just dropped, perhaps, baloney",118,1965-1969,Zerrissene Psyche
10,"gläubigen, christlichen, christi, christlicher, christus",95,1965-1969,Göttliche Gegenwart
11,"light fire, ring fire, heat wave, mire, down down",49,1965-1969,Feuer als Motiv der Leidenschaft
12,"yi, yi yi, little angel, star crossed, homeward",18,1965-1969,Engelsmotive
13,"ruben, eindringlicher protest, bevölkerung, truppen, soldiers",152,1965-1969,Gesellschaftskritik und Krieg
14,"moonshine, sommerliebe, other words, fly moon, mondlichts",89,1965-1969,Mondmotive und Liebe
15,"1969, späten 1960er, bürgerrechtsbewegungen, jahr 1969, manifest späten",144,1965-1969,Solidarität und Kollektivität
16,"kapitän, schiffes, seemann, maritime, seemanns",179,1965-1969,Motive des Meeres
17,"zuhause ort, unterwegssein, piney, wahre zuhause, heimweh",168,1965-1969,Heimat und Zugehörigkeit
18,"schlichten eindringlichen, unerwiderter, innenleben sehnsucht, unerfüllter liebe, heartaches",1802,1965-1969,Unerwiderte Liebe
19,"meditativer aufruf, vance, späten 1960er, edna, späten 60ern",162,1965-1969,Selbstermächtigung und Resilienz
20,"young hov, hov, shepherds, gesungenen worte, ignorieren oberflächlichkeit",2,1965-1969,Aggressive Selbstinszenierung
21,"bethlehem, hirten, christi, geburt jesu, geburt christi",29,1965-1969,Christlicher Glaube
22,"verführerin, hunter, verführers, medicine, verführerischen gefährlichen",244,1965-1969,Toxische Liebesabhängigkeit
23,"kansas city, kansas, südens, mississippi, kaliforniens",77,1965-1969,Sehnsucht nach Amerika
24,"reason believe, ex partners, like makes, befreiung toxischen, without somebody",216,1965-1969,Befreiung aus toxischer Beziehung
25,"blackbird, place sun, bluebird, born free, ast",206,1965-1969,Fliegen als Freiheitsmotiv 
26,"begegnung geliebten, anrede sunny, entfaltet liebe, one true, bouquet",282,1965-1969,Liebe als Transzendentes
27,"väterlicher, mütterlicher liebe, big boy, vater kind, mütterliche liebe",87,1965-1969,Eltern‑Kind Bindung
28,"weins, milwaukee, kneipe, red wine, alkohols",65,1965-1969,Alkohol und Einsamkeit
29,"torheit, hurting, win again, fool bezeichnet, surprise surprise",117,1965-1969,Naivität in der Liebe
30,"back baby, baby need, baby baby, wort baby, jugendlicher verzweiflung",173,1965-1969,Das Telefon als Sehnsuchtsmotiv
31,"jugendlicher verliebtheit, groovy, tex, jugendlicher leidenschaft, jahr 1965",884,1965-1969,Jugendliche Liebesballade
32,"friday child, rückblick unbeschwerte, toyland, belsize, daydream",125,1965-1969,Nostalgie der Jugend
33,"let snow, schnees, äußere kälte, frostigen, nutzt winterliche",53,1965-1969,Winter als Liebesmetapher
34,"dream sweet, zärtliches wiegenlied, sweet dreams, sandmann, sandman",25,1965-1969,Schlaflieder
35,"arbeiters, satisfaction, computer, arbeitswelt, big boss",284,1965-1969,Technokratische Dystopie und Systemkritik
36,"goldes, bleibt besitzt, gold naive, schluss over, bietet illusion",5,1965-1969,Edelsteine als Motiv für Beständigkeit
37,"snoopy, president, überschreiten konventionelle, rückt time, retten chance",1,1965-1969,Westküsten‑Gangsta‑Identität
38,"dealer, under thumb, spielers, puppet, kartenspiels",36,1965-1969,Glücksspiel als Metapher für das Leben
39,"america, arbeiters, hardy, weevil, amerikanischen traums",74,1965-1969,Amerikanische Identität und Kolonialismus
40,"reach out, zärtliches bekenntnis, hold comin, stand beside, stand by",154,1965-1969,Bedingungslose Unterstützung in Beziehungen
41,"born lose, blues musikalisches, blues genre, musikalisches genre, wort blues",58,1965-1969,Blues als Ausdruck von Schmerz
42,"cowboys, prärie, rodeo, wilden westens, amerikanischen westens",72,1965-1969,Amerikanischer Western‑Mythos
43,"autumn, herbstes, blättern, if go, catch wind",195,1965-1969,Jahreszeiten als Motiv des Wandels
45,"fluss steht, by river, wasserfalls, time coming, fluss fluss",64,1965-1969,Wasser als Motiv
46,"pussycat, yummy, biene, taste honey, sadie",243,1965-1969,Begierde und körperliche Verführung
48,"los los, broadway, honky, virginia, detroit",150,1965-1969,Urbanes Stadtporträt
49,"farbe blau, blau steht, misty blue, shade blue, indigo",73,1965-1969,Blau als Symbol der Melancholie
50,"jeannie, runaway, leary, down slow, most peculiar",154,1965-1969,Flucht als Motiv der Bewältigung
51,"shangri, shangri la, ballons, up away, up up",84,1965-1969,Eskapismus: Die Flucht in Reise- und Sehnsuchtsorte
52,"browns, james browns, licking, maceo, mashed",37,1965-1969,"Funk, Soul und Tanzkultur"
55,"st louis, from st, johns, wall street, village",14,1965-1969,"Glamour, Ruhm, Illusion"
56,"silent night, holy night, heavenly peace, weihnachtsbotschaft, sleep heavenly",11,1965-1969,Weihnachten und Gott
57,"zappa, zappas, frank zappa, oop, monkees",138,1965-1969,Satirische Gesellschaftskritik
58,"rose nutzt, ramblin, angelica, rose steht, blue lady",61,1965-1969,Natur als Liebesmetapher
59,"fifi, genauer, tracks tears, wanting things, wanting",74,1965-1969,Symbol der Verstellung und Schutzmechanismen
60,"cold cold, cold turkey, fels, cold heart, turkey",33,1965-1969,Die Metaphorik der Kälte als emotionale Distanz
62,"schmetterling, schmetterlings, mitch, schmetterlinge, naturkulisse verankert",11,1965-1969,Schmetterlingsmetaphorik über Wandel und neue Freiheit
64,"jingle, white christmas, jingle bells, sleigh, schnees",16,1965-1969,Weihnachten und Winter
-1,"zahlen zahlen, gig, siebziger jahren, frühen 1970er, 1971",4254,1970-1974,Rauschen
0,"monolog sehnsucht, wirrer monolog, monolog zerrissenheit, monolog verzweiflung, monolog erinnerung",679,1970-1974,Zerrissene Selbstreflexion
1,"bump, rockin, tanzkultur, jive, frühen 1970er",297,1970-1974,Kollektiver Tanzrausch
2,"rainy day, regen steht, regnerischen, rainmaker, äußere wetter",154,1970-1974,Regen als Trauermotiv
3,"weihnachtszeit, merry christmas, weihnachtsfest, claus, santa claus",89,1970-1974,Weihnachtslieder
4,"marktes, profit, kapitalistischen, künstlerischem anspruch, streben geld",164,1970-1974,Konsumkritik
5,"ali, spiv, tramp, hustler, daytime",14,1970-1974,"Luxus, Gewalt, Kriminalität"
6,"motors, rider, motorrad, fahrers, driver",163,1970-1974,Autofahren als Freiheitsmotiv
7,"überschwängliches, liebesmanifest, liebe allumfassende, wodurch liebe, unmittelbarkeit gefühls",643,1970-1974,Ewige Liebesbindung
8,"eisenbahn, railroad, zugfahrt, lokomotive, choo",122,1970-1974,Der Zug als Metapher für das Voranschreiten
9,"pilot, inneres gefängnis, selbstzerstörung verzweifelten, israel, mary anne",212,1970-1974,Zerrissene Psyche
10,"christlicher, gläubigen, christlichen, christus, bekenntnis christlicher",184,1970-1974,Göttliche Gegenwart
11,"light fire, ladder, fiebers, bösen augen, mr magic",52,1970-1974,Feuer als Motiv der Leidenschaft
12,"angel morning, angel eyes, bind, reinheit schutz, lili",29,1970-1974,Engelsmotive
13,"eindringlicher protest, bevölkerung, umweltzerstörung, ökologische, düsteres panorama",334,1970-1974,Gesellschaftskritik und Krieg
14,"arcadia, side moon, sommernacht, dark side, sommerliebe",67,1970-1974,Mondmotive und Liebe
15,"frühen 1970er, jah, tosh, kollektive gewissen, kollektives erwachen",343,1970-1974,Solidarität und Kollektivität
16,"kapitän, seemanns, schiffes, seemann, sail away",234,1970-1974,Motive des Meeres
17,"home again, going home, winding road, long winding, winding",207,1970-1974,Heimat und Zugehörigkeit
18,"innenleben sehnsucht, unerfüllter liebe, unerwiderter, still love, eindringlichen porträt",1381,1970-1974,Unerwiderte Liebe
19,"siebziger jahren, vermittelt optimistische, meditativer appell, ermutigt leben, botschaft leben",282,1970-1974,Selbstermächtigung und Resilienz
20,"tatorts, tatort, spiegel reale, viertel permanent, medialer fiktion",1,1970-1974,Aggressive Selbstinszenierung
21,"hirten, bethlehem, christi, geburt christi, inkarnation",28,1970-1974,Christlicher Glaube
22,"ida, yo yo, spinne, verführerischen zerstörerischen, voodoo",208,1970-1974,Toxische Liebesabhängigkeit
23,"kaliforniens, mississippi, louisiana, südens, kalifornischen",85,1970-1974,Sehnsucht nach Amerika
24,"wah, wah wah, reason believe, ex partners, hard live",156,1970-1974,Befreiung aus toxischer Beziehung
25,"adler, bluebird, nachtigall, blackbird, libelle",276,1970-1974,Fliegen als Freiheitsmotiv 
26,"are sunshine, entfaltet liebe, kraft geliebten, begegnung geliebten, speak softly",318,1970-1974,Liebe als Transzendentes
27,"väterlicher, mutter kind, knef, mütterliche fürsorge, alleinerziehenden",112,1970-1974,Eltern‑Kind Bindung
28,"alkohols, milwaukee, drinkin, kneipe, alcohol",80,1970-1974,Alkohol und Einsamkeit
29,"torheit, hurting, poor fool, hurts too, crazy heart",85,1970-1974,Naivität in der Liebe
30,"donna, anrufer, soon come, telefons, operator",99,1970-1974,Das Telefon als Sehnsuchtsmotiv
31,"frühen 1970er, jugendlicher verliebtheit, siebziger jahren, unsicherheit sängers, offenbaren tieferes",554,1970-1974,Jugendliche Liebesballade
32,"baby brother, nachdenklicher rückblick, best years, erwachsenseins, rückblick unbeschwerte",157,1970-1974,Nostalgie der Jugend
33,"let snow, schnees, madelaine, frostigen, mandy",29,1970-1974,Winter als Liebesmetapher
34,"sandmann, ragtime, sleepy, zärtliches wiegenlied, wiegenlieds",21,1970-1974,Schlaflieder
35,"arbeiters, frühen 1970er, arbeitswelt, bevölkerung, computer",395,1970-1974,Technokratische Dystopie und Systemkritik
36,"diamonds are, are forever, königswürde, what good, caress touch",5,1970-1974,Edelsteine als Motiv für Beständigkeit
38,"jack diamonds, schachspiel, würfel, kartenspiels, roulette",35,1970-1974,Glücksspiel als Metapher für das Leben
39,"america, indigenen, sheriff, cherokee, amerikanischen traums",140,1970-1974,Amerikanische Identität und Kolonialismus
40,"got friend, namen freundes, zärtliches bekenntnis, siebziger jahren, someone who",215,1970-1974,Bedingungslose Unterstützung in Beziehungen
41,"blues musikalisches, lovesick blues, blues klassisches, sung, musikalisches genre",52,1970-1974,Blues als Ausdruck von Schmerz
42,"cowboys, pferde, rodeo, outlaws, pferdes",105,1970-1974,Amerikanischer Western‑Mythos
43,"autumn, herbstes, zeit liebe, blüten, indian summer",146,1970-1974,Jahreszeiten als Motiv des Wandels
45,"sweet memories, down by, by river, levee, fluss steht",96,1970-1974,Wasser als Motiv
46,"biene, siebziger jahren, verführerin, frühen 1970er, bee",221,1970-1974,Begierde und körperliche Verführung
48,"los los, broadway, harlem, honky, tonk",193,1970-1974,Urbanes Stadtporträt
49,"mammy, no sunshine, farbe blau, indigo, ko",61,1970-1974,Blau als Symbol der Melancholie
50,"runaway, timothy, 60er frühen, bedrückende gefühl, hee",203,1970-1974,Flucht als Motiv der Bewältigung
51,"ballons, ballon, marianne, spaceman, raumfahrt",70,1970-1974,Eskapismus: Die Flucht in Reise- und Sehnsuchtsorte
52,"browns, james browns, make funky, hot pants, pants",63,1970-1974,"Funk, Soul und Tanzkultur"
53,"dream team, jacksons, basketball, jackie, fortschritt erstarrt",1,1970-1974,Hip‑Hop Machtdemonstration
55,"sweet jane, hollywoods, rodeo, showbusiness, patch",29,1970-1974,"Glamour, Ruhm, Illusion"
56,"silent night, holy night, heavenly peace, night holy, sleep heavenly",6,1970-1974,Weihnachten und Gott
57,"zappa, zappas, rocks off, glam rock, glam",107,1970-1974,Satirische Gesellschaftskritik
58,"ramblin, akropolis, rost, rose traditionell, barbara",45,1970-1974,Natur als Liebesmetapher
59,"masquerade, condition, smiling faces, exception, crippled",67,1970-1974,Symbol der Verstellung und Schutzmechanismen
60,"out cold, cold heart, cold cold, lonesome past, shackled",37,1970-1974,Die Metaphorik der Kälte als emotionale Distanz
62,"schmetterlings, schmetterling, schmetterlinge, as wind, free as",13,1970-1974,Schmetterlingsmetaphorik über Wandel und neue Freiheit
63,"alis, slaughter, wakelin, ali, hitman",3,1970-1974,Straßenleben und Gewalt
64,"jingle, white christmas, sleigh, schnees, weihnachtslied",18,1970-1974,Weihnachten und Winter
-1,"zahlen zahlen, gig, späten siebziger, 1979, laut laut",3829,1975-1979,Rauschen
0,"monolog sehnsucht, love monolog, monolog verzweiflung, monolog selbstzweifeln, monolog erinnerung",627,1975-1979,Zerrissene Selbstreflexion
1,"disco ära, späten siebziger, disco kultur, körperliche bewegung, tanzkultur",521,1975-1979,Kollektiver Tanzrausch
2,"äußere wetter, rainy day, regen steht, nutzt regens, wetterphänomen",118,1975-1979,Regen als Trauermotiv
3,"weihnachtszeit, merry christmas, weihnachtsmanns, weihnachtsfest, weihnachtsmann",66,1975-1979,Weihnachtslieder
4,"späten siebziger, model, bissiger, bissiger kommentar, konsumgesellschaft",254,1975-1979,Konsumkritik
5,"willi, collie, kraut, lady killer, flipper",26,1975-1979,"Luxus, Gewalt, Kriminalität"
6,"driver, motors, fortbewegungsmittel, beep, motorrad",171,1975-1979,Autofahren als Freiheitsmotiv
7,"überschwängliches, liebe allumfassende, liebesmanifest, unmittelbarkeit gefühls, leidenschaftliches bekenntnis",643,1975-1979,Ewige Liebesbindung
8,"zugfahrt, lokomotive, eisenbahn, choo, railroad",70,1975-1979,Der Zug als Metapher für das Voranschreiten
9,"breakdown, other voice, enten, intrusion, veronica",189,1975-1979,Zerrissene Psyche
10,"gläubigen, christlichen, christus, christlicher, christi",100,1975-1979,Göttliche Gegenwart
11,"light fire, verzehrend, körperliche erregung, fiebers, feuers steht",106,1975-1979,Feuer als Motiv der Leidenschaft
12,"angel eyes, wild angels, angelique, angela, fallen angel",46,1975-1979,Engelsmotive
13,"bevölkerung, düsteres panorama, babylon, volk, umweltzerstörung",214,1975-1979,Gesellschaftskritik und Krieg
14,"marianne, venedig, sommerromanze, moonshine, moon poetisches",72,1975-1979,Mondmotive und Liebe
15,"jah, tosh, rastafari, babylon, dillinger",255,1975-1979,Solidarität und Kollektivität
16,"sailing, kapitän, schiffes, seemann, sail away",209,1975-1979,Motive des Meeres
17,"going home, heimweh, zuhause ort, homesick, wahre zuhause",142,1975-1979,Heimat und Zugehörigkeit
18,"innenleben sehnsucht, unerfüllter liebe, selbstvorwurf, unerwiderter, ex partners",1396,1975-1979,Unerwiderte Liebe
19,"vermittelt optimistische, optimistische botschaft, botschaft resilienz, manifestes, winner",282,1975-1979,Selbstermächtigung und Resilienz
20,"horde, subkulturen, community, machtdemonstration, legitimer raum",2,1975-1979,Aggressive Selbstinszenierung
21,"bethlehem, hirten, inkarnation, weihnachtsgeschichte, geburt jesu",12,1975-1979,Christlicher Glaube
